,Reportdt,ConfirmedT,DeathsT,RecoveredT
1,3/24/20,205,1,4
2,3/25/20,338,2,5
3,3/26/20,450,3,9
4,3/27/20,542,4,11
5,3/28/20,641,5,13
6,3/29/20,737,9,42
7,3/30/20,891,10,91
8,3/31/20,1001,12,141
9,04/01/2020,1158,18,240
10,04/02/2020,1323,23,304
11,04/03/2020,1477,27,327
12,04/04/2020,1659,31,396
13,04/05/2020,1840,36,464
14,04/06/2020,2043,40,527
15,04/07/2020,2370,43,607
16,04/08/2020,2725,46,642
17,04/09/2020,3089,49,661
18,04/10/2020,3471,54,696
19,04/11/2020,3900,61,737
20,04/12/2020,4372,67,781
21,4/13/20,4807,75,865
22,4/14/20,5300,81,907
23,4/15/20,5818,85,966
24,4/16/20,6580,89,1025
25,4/17/20,7712,94,1305
26,4/18/20,8800,99,1374
27,4/19/20,9922,105,1466
28,4/20/20,11069,111,1616
29,4/21/20,12210,116,1788
30,4/22/20,13368,123,1901
31,4/23/20,14540,129,2025
32,4/24/20,15737,138,2191
33,4/25/20,16960,141,2333
34,4/26/20,18249,146,2507
35,4/27/20,19515,154,2760
36,4/28/20,20840,159,2929
37,4/29/20,22191,164,3139
38,4/30/20,23535,171,3531
39,05/01/2020,24897,178,3741
40,05/02/2020,26449,186,4110
41,05/03/2020,28094,193,4452
42,05/04/2020,29689,202,5407
43,05/05/2020,31376,211,6759
44,05/06/2020,33169,221,7774
45,05/07/2020,34870,231,9096
46,05/08/2020,36574,241,10120
47,05/09/2020,38486,248,11433
48,05/10/2020,40452,257,12713
49,05/11/2020,42363,266,15233
50,05/12/2020,44268,275,17598
51,5/13/20,46307,285,19027
52,5/14/20,48614,294,21845
53,5/15/20,51454,304,23642
54,5/16/20,54190,314,25698
55,5/17/20,56783,322,28724
56,5/18/20,59292,331,31610
57,5/19/20,61983,341,33454
58,5/20/20,64515,353,36016
59,5/21/20,67157,366,38979
60,5/22/20,69599,381,41212
61,5/23/20,71998,392,43496
62,5/24/20,74233,401,45644
63,5/25/20,76164,413,48426
64,5/26/20,77979,427,50998
